sep=,
DeviceTag:,Xsens DOT0
FirmwareVersion:,2.2.1
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Custom modes - custom mode5
StartTime: ,2023-03-04_14:49:16_989 CET
© Xsens Technologies B. V. 2005-2023

PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Quat_W,Quat_X,Quat_Y,Quat_Z
68,1688700684,3.983168,-2.103898,-8.851803,31.290855,-29.569693,-54.299171,-0.156712,0.383107,0.880671,-0.230411,
69,1688717351,3.732748,-1.639412,-8.808343,34.188095,-23.823441,-59.077824,-0.157767,0.373865,0.883459,-0.234169,
70,1688734018,3.658111,-1.686307,-8.376512,23.459850,-17.513844,-63.302994,-0.159174,0.364496,0.886618,-0.236038,
71,1688750685,3.756257,-1.925287,-8.276797,8.785644,-11.201391,-67.781715,-0.160754,0.355063,0.890295,-0.235507,
72,1688767352,3.254431,-2.387221,-7.911282,-0.301019,-4.394196,-72.378807,-0.162888,0.345434,0.894276,-0.233269,
73,1688784019,3.033113,-2.839561,-7.796644,0.786589,3.313002,-77.236382,-0.166221,0.335359,0.898179,-0.230607,
74,1688800686,2.782294,-2.987949,-7.909918,12.284182,12.805606,-81.166313,-0.171459,0.324756,0.901539,-0.228829,
75,1688817353,2.683367,-2.800029,-8.076191,23.242136,24.940950,-83.619499,-0.178850,0.313897,0.904208,-0.227793,
76,1688834020,2.479610,-2.895026,-7.801613,23.870253,38.134418,-84.779755,-0.187995,0.303233,0.906404,-0.226138,
77,1688850687,2.352169,-3.064233,-7.692538,16.984676,50.730576,-85.349823,-0.198458,0.293019,0.908325,-0.222937,
78,1688867354,2.423750,-3.512876,-7.450640,12.233768,61.107414,-85.420891,-0.210024,0.283184,0.909896,-0.218598,
79,1688884021,2.775854,-3.997714,-7.434161,14.493053,68.518730,-85.737259,-0.222602,0.273385,0.910953,-0.214182,
80,1688900688,3.218634,-4.254444,-7.778636,25.702356,73.395988,-86.214096,-0.236207,0.263216,0.911268,-0.210984,
81,1688917355,3.782886,-4.302871,-8.172331,38.927658,77.331459,-86.855835,-0.250771,0.252526,0.910788,-0.209306,
82,1688934022,3.774717,-4.222592,-8.266162,45.097130,81.444641,-87.273750,-0.266019,0.241574,0.909684,-0.208209,
83,1688950689,3.157982,-4.131011,-8.213140,43.866428,84.214813,-87.049271,-0.281467,0.230674,0.908188,-0.206789,
84,1688967356,4.236580,-4.651326,-7.880984,38.110199,82.903877,-85.963364,-0.296379,0.220018,0.906575,-0.204630,
85,1688984023,4.317486,-4.500439,-8.128611,27.839823,76.624428,-83.251862,-0.309939,0.209887,0.905169,-0.201382,
86,1689000690,4.296139,-4.840116,-9.178209,28.021807,70.405754,-78.589035,-0.322436,0.200108,0.903651,-0.198510,
87,1689017357,4.809828,-5.198271,-8.388444,27.152246,64.995773,-73.737045,-0.333935,0.190795,0.902064,-0.195869,
88,1689034024,4.622043,-5.474052,-8.797726,22.743130,59.596119,-68.271957,-0.344347,0.182214,0.900532,-0.193045,
89,1689050691,4.185607,-5.559886,-8.893323,24.398125,53.405457,-61.900497,-0.353712,0.174179,0.898946,-0.190910,
90,1689067358,4.082682,-5.724630,-8.679860,32.382286,47.419956,-55.371696,-0.362210,0.166404,0.897160,-0.190307,
91,1689084025,3.930646,-5.754304,-8.418226,35.498722,41.855476,-50.101540,-0.369811,0.158991,0.895354,-0.190534,
92,1689100692,3.895320,-5.534686,-8.509860,33.611816,38.377995,-45.949806,-0.376705,0.152123,0.893607,-0.190836,
93,1689117359,3.569446,-5.377535,-8.497818,28.323683,37.432907,-42.395393,-0.383167,0.145985,0.891915,-0.190683,
94,1689134026,3.394068,-5.356625,-8.264418,19.726318,36.902626,-39.658222,-0.389208,0.140676,0.890383,-0.189595,
95,1689150693,3.348329,-5.458894,-8.117936,13.193942,34.951748,-37.758717,-0.394723,0.135942,0.889063,-0.187831,
96,1689167360,3.753177,-5.406898,-8.464706,13.345544,31.921112,-35.886909,-0.399712,0.131376,0.887846,-0.186281,
97,1689184027,3.763566,-5.423046,-8.431881,17.610308,27.960724,-33.207569,-0.404117,0.126817,0.886670,-0.185537,
98,1689200694,3.865858,-5.228311,-8.595861,24.101173,23.098196,-29.226353,-0.407828,0.122281,0.885514,-0.185979,
99,1689217361,4.029356,-5.052800,-8.449098,28.379555,17.544144,-23.925053,-0.410679,0.118046,0.884469,-0.187407,
100,1689234028,3.817543,-4.824870,-8.288742,29.330008,10.636189,-17.698122,-0.412418,0.114390,0.883701,-0.189468,
101,1689250695,3.948646,-4.659043,-8.224077,27.351753,3.739869,-10.918765,-0.412985,0.111561,0.883292,-0.191813,
102,1689267362,3.914301,-4.586749,-8.323554,22.938707,-2.586478,-4.337827,-0.412425,0.109691,0.883288,-0.194102,
103,1689284029,4.046656,-4.384695,-8.571418,17.218355,-7.331426,2.424507,-0.410915,0.108924,0.883635,-0.196148,
104,1689300696,3.969905,-4.390934,-8.505637,8.691262,-11.008618,9.172691,-0.408550,0.109453,0.884351,-0.197561,
105,1689317363,3.916353,-4.479264,-8.446344,3.157059,-14.771688,15.441056,-0.405379,0.111031,0.885360,-0.198693,
106,1689334030,3.888483,-4.605862,-8.333042,3.491200,-18.580099,20.659336,-0.401518,0.113173,0.886500,-0.200234,
107,1689350697,4.025703,-4.566711,-8.286063,7.628909,-22.351309,25.394115,-0.397047,0.115597,0.887652,-0.202645,
108,1689367364,4.165263,-4.459388,-8.412062,10.835585,-24.949526,29.576082,-0.392121,0.118320,0.888768,-0.205747,
109,1689384031,4.347405,-4.313025,-8.580771,10.242107,-26.177597,33.400471,-0.386862,0.121554,0.889878,-0.208997,
110,1689400698,4.471749,-4.249244,-8.873751,7.335385,-26.014809,37.316437,-0.381406,0.125478,0.890962,-0.212065,
111,1689417365,4.618489,-4.289667,-9.188443,3.358257,-25.546770,41.186203,-0.375771,0.130151,0.892032,-0.214792,
112,1689434032,4.908210,-4.304136,-9.379431,-1.476906,-25.407270,45.358776,-0.369884,0.135642,0.893120,-0.217079,
113,1689450699,5.014874,-4.314749,-9.469510,-7.619340,-26.742344,49.639126,-0.363523,0.141981,0.894332,-0.218778,
114,1689467366,5.142289,-4.340626,-9.494987,-12.504897,-29.801136,53.932865,-0.356481,0.149038,0.895698,-0.220079,
